sample_id,image_path,voc_path,client_id,split
site-a_train_pexels-photo-8961549,images/pexels-photo-8961549.jpeg,voc_labels/pexels-photo-8961549.xml,site-a,train
site-a_train_pexels-photo-18110372,images/pexels-photo-18110372.jpeg,voc_labels/pexels-photo-18110372.xml,site-a,train
site-a_train_pexels-photo-2310483,images/pexels-photo-2310483.jpeg,voc_labels/pexels-photo-2310483.xml,site-a,train
site-a_train_pexels-photo-16045267,images/pexels-photo-16045267.jpeg,voc_labels/pexels-photo-16045267.xml,site-a,train
site-a_train_pexels-photo-872732,images/pexels-photo-872732.jpeg,voc_labels/pexels-photo-872732.xml,site-a,train
site-a_train_pexels-photo-8961623,images/pexels-photo-8961623.jpeg,voc_labels/pexels-photo-8961623.xml,site-a,train
site-a_train_pexels-photo-7155779,images/pexels-photo-7155779.jpeg,voc_labels/pexels-photo-7155779.xml,site-a,train
site-a_train_pexels-photo-15304532,images/pexels-photo-15304532.jpeg,voc_labels/pexels-photo-15304532.xml,site-a,train
site-a_train_pexels-photo-7812846,images/pexels-photo-7812846.jpeg,voc_labels/pexels-photo-7812846.xml,site-a,train
site-a_train_pexels-photo-6413498,images/pexels-photo-6413498.jpeg,voc_labels/pexels-photo-6413498.xml,site-a,train
site-a_train_pexels-photo-13963338,images/pexels-photo-13963338.jpeg,voc_labels/pexels-photo-13963338.xml,site-a,train
site-a_train_pexels-photo-16753450,images/pexels-photo-16753450.jpeg,voc_labels/pexels-photo-16753450.xml,site-a,train
site-a_train_pexels-photo-14189341,images/pexels-photo-14189341.jpeg,voc_labels/pexels-photo-14189341.xml,site-a,train
site-a_train_pexels-photo-15947457,images/pexels-photo-15947457.jpeg,voc_labels/pexels-photo-15947457.xml,site-a,train
site-a_train_pexels-photo-9300984,images/pexels-photo-9300984.jpeg,voc_labels/pexels-photo-9300984.xml,site-a,train
site-a_train_pexels-photo-4442490,images/pexels-photo-4442490.jpeg,voc_labels/pexels-photo-4442490.xml,site-a,train
site-a_train_pexels-photo-8293645,images/pexels-photo-8293645.jpeg,voc_labels/pexels-photo-8293645.xml,site-a,train
site-a_train_pexels-photo-17745339,images/pexels-photo-17745339.jpeg,voc_labels/pexels-photo-17745339.xml,site-a,train
site-a_train_pexels-photo-8961160,images/pexels-photo-8961160.jpeg,voc_labels/pexels-photo-8961160.xml,site-a,train
site-a_train_pexels-photo-8961337,images/pexels-photo-8961337.jpeg,voc_labels/pexels-photo-8961337.xml,site-a,train
site-a_train_pexels-photo-3772616,images/pexels-photo-3772616.jpeg,voc_labels/pexels-photo-3772616.xml,site-a,train
site-a_train_pexels-photo-15806963,images/pexels-photo-15806963.jpeg,voc_labels/pexels-photo-15806963.xml,site-a,train
site-a_train_pexels-photo-18969926,images/pexels-photo-18969926.jpeg,voc_labels/pexels-photo-18969926.xml,site-a,train
site-a_train_pexels-photo-12956301,images/pexels-photo-12956301.jpeg,voc_labels/pexels-photo-12956301.xml,site-a,train
site-a_train_pexels-photo-3831159,images/pexels-photo-3831159.jpeg,voc_labels/pexels-photo-3831159.xml,site-a,train
site-a_train_pexels-photo-8961395,images/pexels-photo-8961395.jpeg,voc_labels/pexels-photo-8961395.xml,site-a,train
site-a_train_pexels-photo-3592362,images/pexels-photo-3592362.jpeg,voc_labels/pexels-photo-3592362.xml,site-a,train
site-a_train_pexels-photo-5422490,images/pexels-photo-5422490.jpeg,voc_labels/pexels-photo-5422490.xml,site-a,train
site-a_train_pexels-photo-8961003,images/pexels-photo-8961003.jpeg,voc_labels/pexels-photo-8961003.xml,site-a,train
site-a_train_pexels-photo-14367440,images/pexels-photo-14367440.jpeg,voc_labels/pexels-photo-14367440.xml,site-a,train
site-a_train_pexels-photo-8961396,images/pexels-photo-8961396.jpeg,voc_labels/pexels-photo-8961396.xml,site-a,train
site-a_train_pexels-photo-8821535,images/pexels-photo-8821535.jpeg,voc_labels/pexels-photo-8821535.xml,site-a,train
site-a_train_pexels-photo-6345100,images/pexels-photo-6345100.jpeg,voc_labels/pexels-photo-6345100.xml,site-a,train
site-a_train_pexels-photo-11293624,images/pexels-photo-11293624.jpeg,voc_labels/pexels-photo-11293624.xml,site-a,train
site-a_train_pexels-photo-13061689,images/pexels-photo-13061689.jpeg,voc_labels/pexels-photo-13061689.xml,site-a,train
site-a_train_pexels-photo-15419937,images/pexels-photo-15419937.jpeg,voc_labels/pexels-photo-15419937.xml,site-a,train
site-a_train_pexels-photo-9322216,images/pexels-photo-9322216.jpeg,voc_labels/pexels-photo-9322216.xml,site-a,train
site-a_train_pexels-photo-11644973,images/pexels-photo-11644973.jpeg,voc_labels/pexels-photo-11644973.xml,site-a,train
site-a_train_pexels-photo-4489421,images/pexels-photo-4489421.jpeg,voc_labels/pexels-photo-4489421.xml,site-a,train
site-a_train_pexels-photo-450597,images/pexels-photo-450597.jpeg,voc_labels/pexels-photo-450597.xml,site-a,train
site-a_train_pexels-photo-16053349,images/pexels-photo-16053349.jpeg,voc_labels/pexels-photo-16053349.xml,site-a,train
site-a_train_pexels-photo-8961032,images/pexels-photo-8961032.jpeg,voc_labels/pexels-photo-8961032.xml,site-a,train
site-a_train_pexels-photo-17410739,images/pexels-photo-17410739.jpeg,voc_labels/pexels-photo-17410739.xml,site-a,train
site-a_train_pexels-photo-10615318,images/pexels-photo-10615318.jpeg,voc_labels/pexels-photo-10615318.xml,site-a,train
site-a_train_pexels-photo-4981772,images/pexels-photo-4981772.jpeg,voc_labels/pexels-photo-4981772.xml,site-a,train
site-a_train_pexels-photo-8961064,images/pexels-photo-8961064.jpeg,voc_labels/pexels-photo-8961064.xml,site-a,train
site-a_train_pexels-photo-2760244,images/pexels-photo-2760244.jpeg,voc_labels/pexels-photo-2760244.xml,site-a,train
site-a_train_pexels-photo-16045331,images/pexels-photo-16045331.jpeg,voc_labels/pexels-photo-16045331.xml,site-a,train
site-a_train_pexels-photo-15483317,images/pexels-photo-15483317.jpeg,voc_labels/pexels-photo-15483317.xml,site-a,train
site-a_train_pexels-photo-8961552,images/pexels-photo-8961552.jpeg,voc_labels/pexels-photo-8961552.xml,site-a,train
site-a_train_pexels-photo-10383595,images/pexels-photo-10383595.jpeg,voc_labels/pexels-photo-10383595.xml,site-a,train
site-a_train_pexels-photo-6106878,images/pexels-photo-6106878.jpeg,voc_labels/pexels-photo-6106878.xml,site-a,train
site-a_train_pexels-photo-8960993,images/pexels-photo-8960993.jpeg,voc_labels/pexels-photo-8960993.xml,site-a,train
site-a_train_pexels-photo-8278898,images/pexels-photo-8278898.jpeg,voc_labels/pexels-photo-8278898.xml,site-a,train
site-a_train_pexels-photo-8853506,images/pexels-photo-8853506.jpeg,voc_labels/pexels-photo-8853506.xml,site-a,train
site-a_train_pexels-photo-15063590,images/pexels-photo-15063590.jpeg,voc_labels/pexels-photo-15063590.xml,site-a,train
site-a_train_pexels-photo-11386188,images/pexels-photo-11386188.jpeg,voc_labels/pexels-photo-11386188.xml,site-a,train
site-a_train_pexels-photo-8961403,images/pexels-photo-8961403.jpeg,voc_labels/pexels-photo-8961403.xml,site-a,train
site-a_train_pexels-photo-15016528,images/pexels-photo-15016528.jpeg,voc_labels/pexels-photo-15016528.xml,site-a,train
site-a_train_pexels-photo-6961120,images/pexels-photo-6961120.jpeg,voc_labels/pexels-photo-6961120.xml,site-a,train
site-a_train_pexels-photo-5298215,images/pexels-photo-5298215.jpeg,voc_labels/pexels-photo-5298215.xml,site-a,train
site-a_train_pexels-photo-10130751,images/pexels-photo-10130751.jpeg,voc_labels/pexels-photo-10130751.xml,site-a,train
site-a_train_pexels-photo-13376117,images/pexels-photo-13376117.jpeg,voc_labels/pexels-photo-13376117.xml,site-a,train
site-a_train_pexels-photo-6961091,images/pexels-photo-6961091.jpeg,voc_labels/pexels-photo-6961091.xml,site-a,train
site-a_train_pexels-photo-4956908,images/pexels-photo-4956908.jpeg,voc_labels/pexels-photo-4956908.xml,site-a,train
site-a_train_pexels-photo-5493671,images/pexels-photo-5493671.jpeg,voc_labels/pexels-photo-5493671.xml,site-a,train
site-a_train_pexels-photo-10615322,images/pexels-photo-10615322.jpeg,voc_labels/pexels-photo-10615322.xml,site-a,train
site-a_train_pexels-photo-8961260,images/pexels-photo-8961260.jpeg,voc_labels/pexels-photo-8961260.xml,site-a,train
site-a_train_pexels-photo-209719,images/pexels-photo-209719.jpeg,voc_labels/pexels-photo-209719.xml,site-a,train
site-a_train_pexels-photo-5493673,images/pexels-photo-5493673.jpeg,voc_labels/pexels-photo-5493673.xml,site-a,train
site-a_train_pexels-photo-7788264,images/pexels-photo-7788264.jpeg,voc_labels/pexels-photo-7788264.xml,site-a,train
site-a_train_pexels-photo-8961030,images/pexels-photo-8961030.jpeg,voc_labels/pexels-photo-8961030.xml,site-a,train
site-a_train_pexels-photo-8853525,images/pexels-photo-8853525.jpeg,voc_labels/pexels-photo-8853525.xml,site-a,train
site-a_train_pexels-photo-12831620,images/pexels-photo-12831620.jpeg,voc_labels/pexels-photo-12831620.xml,site-a,train
site-a_train_pexels-photo-8961031,images/pexels-photo-8961031.jpeg,voc_labels/pexels-photo-8961031.xml,site-a,train
site-a_train_pexels-photo-10930246,images/pexels-photo-10930246.jpeg,voc_labels/pexels-photo-10930246.xml,site-a,train
site-a_train_pexels-photo-18517684,images/pexels-photo-18517684.jpeg,voc_labels/pexels-photo-18517684.xml,site-a,train
site-a_train_pexels-photo-15190641,images/pexels-photo-15190641.jpeg,voc_labels/pexels-photo-15190641.xml,site-a,train
site-a_train_pexels-photo-9964624,images/pexels-photo-9964624.jpeg,voc_labels/pexels-photo-9964624.xml,site-a,train
site-a_train_pexels-photo-5493657,images/pexels-photo-5493657.jpeg,voc_labels/pexels-photo-5493657.xml,site-a,train
site-a_train_pexels-photo-3736102,images/pexels-photo-3736102.jpeg,voc_labels/pexels-photo-3736102.xml,site-a,train
site-a_train_pexels-photo-5493654,images/pexels-photo-5493654.jpeg,voc_labels/pexels-photo-5493654.xml,site-a,train
site-a_train_pexels-photo-8434127,images/pexels-photo-8434127.jpeg,voc_labels/pexels-photo-8434127.xml,site-a,train
site-a_train_pexels-photo-9258891,images/pexels-photo-9258891.jpeg,voc_labels/pexels-photo-9258891.xml,site-a,train
site-a_train_pexels-photo-8853505,images/pexels-photo-8853505.jpeg,voc_labels/pexels-photo-8853505.xml,site-a,train
site-a_train_pexels-photo-2480481,images/pexels-photo-2480481.jpeg,voc_labels/pexels-photo-2480481.xml,site-a,train
site-a_train_pexels-photo-8961066,images/pexels-photo-8961066.jpeg,voc_labels/pexels-photo-8961066.xml,site-a,train
site-a_train_pexels-photo-7650512,images/pexels-photo-7650512.jpeg,voc_labels/pexels-photo-7650512.xml,site-a,train
site-a_train_pexels-photo-6961215,images/pexels-photo-6961215.jpeg,voc_labels/pexels-photo-6961215.xml,site-a,train
site-a_train_pexels-photo-14367421,images/pexels-photo-14367421.jpeg,voc_labels/pexels-photo-14367421.xml,site-a,train
site-a_train_pexels-photo-2760242,images/pexels-photo-2760242.jpeg,voc_labels/pexels-photo-2760242.xml,site-a,train
site-a_train_pexels-photo-8960996,images/pexels-photo-8960996.jpeg,voc_labels/pexels-photo-8960996.xml,site-a,train
site-a_train_pexels-photo-18543179,images/pexels-photo-18543179.jpeg,voc_labels/pexels-photo-18543179.xml,site-a,train
site-a_train_pexels-photo-2317640,images/pexels-photo-2317640.jpeg,voc_labels/pexels-photo-2317640.xml,site-a,train
site-a_train_pexels-photo-16053351,images/pexels-photo-16053351.jpeg,voc_labels/pexels-photo-16053351.xml,site-a,train
site-a_train_pexels-photo-4571558,images/pexels-photo-4571558.jpeg,voc_labels/pexels-photo-4571558.xml,site-a,train
site-a_train_pexels-photo-17878579,images/pexels-photo-17878579.jpeg,voc_labels/pexels-photo-17878579.xml,site-a,train
site-a_train_pexels-photo-5383809,images/pexels-photo-5383809.jpeg,voc_labels/pexels-photo-5383809.xml,site-a,train
site-a_train_pexels-photo-12880833,images/pexels-photo-12880833.jpeg,voc_labels/pexels-photo-12880833.xml,site-a,train
site-a_train_pexels-photo-8381648,images/pexels-photo-8381648.jpeg,voc_labels/pexels-photo-8381648.xml,site-a,train
site-a_train_pexels-photo-17797264,images/pexels-photo-17797264.jpeg,voc_labels/pexels-photo-17797264.xml,site-a,train
site-a_train_pexels-photo-14367420,images/pexels-photo-14367420.jpeg,voc_labels/pexels-photo-14367420.xml,site-a,train
site-a_train_pexels-photo-9746799,images/pexels-photo-9746799.jpeg,voc_labels/pexels-photo-9746799.xml,site-a,train
site-a_train_pexels-photo-8960995,images/pexels-photo-8960995.jpeg,voc_labels/pexels-photo-8960995.xml,site-a,train
site-a_train_pexels-photo-15391048,images/pexels-photo-15391048.jpeg,voc_labels/pexels-photo-15391048.xml,site-a,train
site-a_train_pexels-photo-6961123,images/pexels-photo-6961123.jpeg,voc_labels/pexels-photo-6961123.xml,site-a,train
site-a_train_pexels-photo-7509167,images/pexels-photo-7509167.jpeg,voc_labels/pexels-photo-7509167.xml,site-a,train
site-a_train_pexels-photo-14189337,images/pexels-photo-14189337.jpeg,voc_labels/pexels-photo-14189337.xml,site-a,train
site-a_train_pexels-photo-17337140,images/pexels-photo-17337140.png,voc_labels/pexels-photo-17337140.xml,site-a,train
site-a_train_pexels-photo-5100851,images/pexels-photo-5100851.jpeg,voc_labels/pexels-photo-5100851.xml,site-a,train
site-a_train_pexels-photo-18111488,images/pexels-photo-18111488.jpeg,voc_labels/pexels-photo-18111488.xml,site-a,train
site-a_train_pexels-photo-8961109,images/pexels-photo-8961109.jpeg,voc_labels/pexels-photo-8961109.xml,site-a,train
