sample_id,image_path,label,client_id,split
site-a_train_safe_pexels-photo-8204387,images/pexels-photo-8204387.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8820996,images/pexels-photo-8820996.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-12675250,images/pexels-photo-12675250.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-15923443,images/pexels-photo-15923443.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-896568,images/pexels-photo-896568.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-3862618,images/pexels-photo-3862618.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-15200451,images/pexels-photo-15200451.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8867432,images/pexels-photo-8867432.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-6129649,images/pexels-photo-6129649.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-5726782,images/pexels-photo-5726782.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-3862632,images/pexels-photo-3862632.jpeg,safe,site-a,train
site-a_train_safe_construction-site-build-construction-work-159306,images/construction-site-build-construction-work-159306.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-6536850,images/pexels-photo-6536850.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-6177619,images/pexels-photo-6177619.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8961553,images/pexels-photo-8961553.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-13914845,images/pexels-photo-13914845.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-7014342,images/pexels-photo-7014342.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-5452196,images/pexels-photo-5452196.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-6129588,images/pexels-photo-6129588.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-7652375,images/pexels-photo-7652375.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-6051048,images/pexels-photo-6051048.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8829876,images/pexels-photo-8829876.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8204360,images/pexels-photo-8204360.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-5649079,images/pexels-photo-5649079.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8820184,images/pexels-photo-8820184.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-6161659,images/pexels-photo-6161659.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8538696,images/pexels-photo-8538696.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8821640,images/pexels-photo-8821640.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-8830274,images/pexels-photo-8830274.jpeg,safe,site-a,train
site-a_train_safe_pexels-photo-12741270,images/pexels-photo-12741270.jpeg,safe,site-a,train
